,fit_time,score_time,test_mild_acc,test_mild_f1,test_severe_acc,test_severe_f1,test_accuracy,test_f1
0,0.15771818161010742,0.0018460750579833984,0.6666666666666666,0.30769230769230765,0.6666666666666666,0.8,0.6666666666666666,0.6060606060606061
1,0.11469793319702148,0.001699209213256836,0.64,0.0,0.5,0.6666666666666666,0.5897435897435898,0.4666666666666667
2,0.1319122314453125,0.0016589164733886719,0.7666666666666667,0.5333333333333333,0.5555555555555556,0.7142857142857143,0.717948717948718,0.6206896551724138
3,0.2557508945465088,0.0026450157165527344,0.6774193548387096,0.4444444444444445,0.5,0.6666666666666666,0.6410256410256411,0.5333333333333333
4,0.1544811725616455,0.0025396347045898438,0.5,0.0,0.5454545454545454,0.7058823529411764,0.5128205128205128,0.38709677419354843
5,0.16015005111694336,0.001779794692993164,0.37037037037037035,0.19047619047619047,0.08333333333333333,0.15384615384615385,0.28205128205128205,0.17647058823529413
6,0.1294536590576172,0.0016922950744628906,0.5483870967741935,0.22222222222222224,0.5,0.6666666666666666,0.5384615384615384,0.39999999999999997
7,0.1408689022064209,0.001744985580444336,0.6,0.4545454545454545,0.3333333333333333,0.5,0.5384615384615384,0.47058823529411764
8,0.1416468620300293,0.0017130374908447266,0.5555555555555556,0.25,0.5,0.6666666666666666,0.5384615384615384,0.47058823529411764
9,0.14974069595336914,0.0018432140350341797,0.6785714285714286,0.3076923076923077,0.45454545454545453,0.625,0.6153846153846154,0.4827586206896552
10,0.1785721778869629,0.0017118453979492188,0.48148148148148145,0.0,0.5,0.6666666666666666,0.48717948717948717,0.375
11,0.13323068618774414,0.0016722679138183594,0.6206896551724138,0.26666666666666666,0.6,0.7499999999999999,0.6153846153846154,0.5161290322580646
12,0.13307690620422363,0.0044400691986083984,0.4827586206896552,0.39999999999999997,0.4,0.5714285714285715,0.46153846153846156,0.46153846153846156
13,0.13883638381958008,0.001668691635131836,0.6153846153846154,0.28571428571428575,0.5,0.6666666666666666,0.5789473684210527,0.5
14,0.130950927734375,0.0017578601837158203,0.5666666666666667,0.380952380952381,0.25,0.4,0.5,0.38709677419354843
15,0.1469118595123291,0.0016970634460449219,0.56,0.0,0.6153846153846154,0.761904761904762,0.5789473684210527,0.5
16,0.13257718086242676,0.0016241073608398438,0.46153846153846156,0.22222222222222224,0.5833333333333334,0.7368421052631579,0.5,0.4864864864864864
17,0.17907094955444336,0.001708984375,0.5714285714285714,0.25,0.5,0.6666666666666666,0.5526315789473685,0.45161290322580644
18,0.12415099143981934,0.0016279220581054688,0.4583333333333333,0.13333333333333336,0.5,0.6666666666666666,0.47368421052631576,0.4444444444444445
19,0.1262800693511963,0.0016257762908935547,0.6538461538461539,0.18181818181818182,0.5,0.6666666666666666,0.6052631578947368,0.4827586206896552
