,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.28145265579223633,0.025821520990999543,0.0033546924591064454,0.0003047401552582879,sqrt,2,50,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.6021505376344087,0.5934065934065934,0.4578313253012048,0.5070422535211268,0.6506024096385542,0.5622066239003776,0.06974249779704739,8
1,0.5404867172241211,0.018107747175060463,0.005848121643066406,0.0005646013200682403,sqrt,2,100,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.6067415730337079,0.6067415730337079,0.47619047619047616,0.5866666666666667,0.6666666666666666,0.5886013911182449,0.06227724560367902,2
2,0.8164247512817383,0.01597695266432935,0.00791182518005371,0.00014534107655879235,sqrt,2,150,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",0.6086956521739131,0.6222222222222222,0.4597701149425288,0.5675675675675675,0.6506024096385542,0.5817715933089571,0.06661074188552048,4
3,0.2737893104553223,0.00999217939667914,0.003203153610229492,8.789507143541855e-05,sqrt,4,50,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.5842696629213484,0.5842696629213484,0.43373493975903615,0.48648648648648657,0.6341463414634146,0.5445814187103268,0.07325865394731941,10
4,0.5432439327239991,0.01579416935603499,0.005549192428588867,4.217165727374641e-05,sqrt,4,100,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.6153846153846154,0.6222222222222222,0.4470588235294118,0.5526315789473685,0.6419753086419753,0.5758545097451186,0.07101012232294716,5
5,0.8180022239685059,0.017844829866258717,0.008069086074829101,0.00024922433149557614,sqrt,4,150,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 150}",0.6236559139784946,0.5813953488372093,0.4597701149425288,0.5066666666666666,0.6987951807228915,0.5740566450295581,0.08447066530322443,6
6,0.12336316108703613,0.002340990468355706,0.0031805992126464843,4.401999905327558e-05,log2,2,50,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.5517241379310345,0.5348837209302325,0.4719101123595506,0.4225352112676056,0.6666666666666666,0.5295439698310179,0.08257801489809724,12
7,0.2475048065185547,0.0059236348218189286,0.00602879524230957,0.0006708960982467839,log2,2,100,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.5681818181818182,0.49382716049382713,0.4470588235294118,0.5070422535211268,0.6666666666666666,0.5365553444785701,0.07567765523182707,11
8,0.36812472343444824,0.005391267844161007,0.008231782913208007,0.0003785286898104876,log2,2,150,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 150}",0.5934065934065934,0.5476190476190477,0.4470588235294118,0.5405405405405406,0.6410256410256411,0.5539301292242469,0.06447419052202533,9
9,0.122859525680542,0.0015907271545845733,0.0032679557800292967,0.00010396979091735724,log2,4,50,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 50}",0.6086956521739131,0.5348837209302325,0.42857142857142855,0.5499999999999999,0.6904761904761905,0.562525398430353,0.08644965181853223,7
10,0.24534549713134765,0.004795394128020029,0.005873632431030273,0.000565007051053693,log2,4,100,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}",0.6292134831460674,0.5842696629213484,0.45000000000000007,0.6153846153846153,0.6987951807228915,0.5955325884349845,0.08185139754002825,1
11,0.38243756294250486,0.035959143135151736,0.008716678619384766,0.0007818779683520031,log2,4,150,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 150}",0.6304347826086957,0.5842696629213484,0.425,0.6153846153846153,0.6829268292682927,0.5876031780365905,0.08734284049206244,3
