,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_features,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3112553596496582,0.015392187303479373,0.004426336288452149,0.0005439844028805897,sqrt,2,50,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.6451612903225806,0.5714285714285714,0.4536082474226804,0.5238095238095238,0.6373626373626374,0.5662740540691987,0.07183337954608378,11
1,0.6385320663452149,0.0275001313498934,0.0067059040069580075,0.000672626748890182,sqrt,2,100,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.6382978723404256,0.5625000000000001,0.48936170212765956,0.5679012345679013,0.6593406593406594,0.5834802936753292,0.060499505931659474,9
2,0.8933687210083008,0.04854967290737238,0.008901262283325195,0.0005470814788081857,sqrt,2,150,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.6458333333333334,0.6060606060606062,0.5106382978723404,0.5977011494252874,0.6458333333333334,0.6012133440049802,0.04943997843336113,5
3,0.2976095676422119,0.01492220657935266,0.004088115692138672,0.0005352059518475723,sqrt,4,50,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 4, 'rf__n_estimators': 50}",0.6326530612244898,0.577319587628866,0.4631578947368421,0.5783132530120482,0.6813186813186813,0.5865524955841857,0.07278083722625082,8
4,0.58510422706604,0.02571029183510731,0.006727743148803711,0.0005822933306282055,sqrt,4,100,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.6595744680851063,0.6534653465346535,0.46938775510204084,0.6117647058823529,0.6304347826086957,0.6049254116425699,0.06987217606840568,3
5,0.885385274887085,0.02911228988722292,0.008774185180664062,0.0006968020854410344,sqrt,4,150,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 4, 'rf__n_estimators': 150}",0.6526315789473685,0.6538461538461539,0.4536082474226804,0.6024096385542169,0.6593406593406594,0.6043672556222159,0.07814319191045781,4
6,0.1434852123260498,0.00932685645729726,0.003986167907714844,0.0004398773394671795,log2,2,50,"{'rf__max_features': 'log2', 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.6373626373626374,0.5217391304347826,0.4536082474226804,0.6117647058823529,0.6046511627906976,0.5658251767786302,0.06822275940945152,12
7,0.2655085563659668,0.005290608490213414,0.006360626220703125,0.00048652755423284663,log2,2,100,"{'rf__max_features': 'log2', 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.6021505376344087,0.5979381443298969,0.49484536082474223,0.6190476190476191,0.6206896551724138,0.5869342634018161,0.046912003707518204,7
8,0.39173665046691897,0.003911038221142844,0.008939170837402343,0.0006811276665260738,log2,2,150,"{'rf__max_features': 'log2', 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.6458333333333334,0.6326530612244898,0.46808510638297873,0.6117647058823529,0.6206896551724138,0.5958051723991138,0.06487980156013216,6
9,0.1396566390991211,0.011128337182891792,0.003396415710449219,0.00011378034040977503,log2,4,50,"{'rf__max_features': 'log2', 'rf__min_samples_split': 4, 'rf__n_estimators': 50}",0.5531914893617023,0.5742574257425743,0.5208333333333333,0.6206896551724138,0.6382978723404256,0.5814539551900898,0.04311864532933932,10
10,0.2767289161682129,0.014650899548087005,0.006542634963989258,0.0005305852231092625,log2,4,100,"{'rf__max_features': 'log2', 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.6666666666666666,0.5940594059405941,0.48936170212765956,0.6511627906976745,0.6526315789473685,0.6107764288759926,0.06561649977891582,1
11,0.39772419929504393,0.01659816524466276,0.008843183517456055,0.0006711822707826068,log2,4,150,"{'rf__max_features': 'log2', 'rf__min_samples_split': 4, 'rf__n_estimators': 150}",0.686868686868687,0.6262626262626263,0.48421052631578954,0.6222222222222222,0.6304347826086957,0.6099997688556041,0.06717622016706758,2
