,Name,Artists,ID,Streams
0,Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,
1,Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,2025290942.0
2,The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,1608119040.0
3,Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,2206854528.0
4,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",7ytR5pFWmSjzHJIeQkgog4,1514383039.0
5,Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,1358296305.0
6,Life Is Good (feat. Drake),"Future, Drake",5yY9lUy8nbvjM1Uyo1Uqoc,2020.0
7,Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,
8,The Bones,Maren Morris,7yFhA2fUsL2oIMWlw5DaHQ,412053799.0
9,Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,2735355999.0
10,Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,
11,I Hope (feat. Charlie Puth),"Gabby Barrett, Charlie Puth",5cYFwgA5dHoqR3xGnlr9ew,81170094.0
12,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",2MbdDtCv5LUVjYy9RuGTgC,
13,Dance Monkey,Tones And I,1rgnBhdG2JDFTbYkYRZAku,2796460653.0
14,Savage,Megan Thee Stallion,55CHeLEfn5iJ0IIkgaa4si,
15,ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,1357587617.0
16,Intentions (feat. Quavo),"Justin Bieber, Quavo",4umIPjkehX1r7uhmGvXiSV,
17,everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,1300487986.0
18,Roses - Imanbek Remix,"SAINt JHN, Imanbek",24Yi9hE78yPEbZ4kxyoXAI,1739913247.0
19,Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,2189080780.0
20,Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,1508077893.0
21,Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,1420836795.0
22,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",2wrJq5XKLnmhRXHIAf9xBa,918909109.0
23,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",4Oun2ylbjFKMPTiaSbbCih,1168495026.0
24,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",3QzAOrNlsabgbMwlZt7TAY,750048913.0
25,hot girl bummer,blackbear,2mt1IqcFyY1zmYZT8Q3xw9,1138167374.0
26,Blueberry Faygo,Lil Mosey,6wJYhPfqk3KGhHRG76WzOh,1149393905.0
27,Heartless,The Weeknd,6bnF93Rx87YqUBLSgjiMU8,
28,BOP,DaBaby,6Ozh9Ok6h4Oi1wUSLtBseN,718833150.0
29,Lose You To Love Me,Selena Gomez,4l0Mvzj72xxOpRrp6h8nHi,1014218616.0
30,Good as Hell,Lizzo,6KgBpzTuTRPebChN0VTyzV,
31,Toosie Slide,Drake,127QTOFJsJQp5LbJbu3A1y,
32,Break My Heart,Dua Lipa,017PF4Q3l4DBUiWoXk4OWT,
33,Chasin' You,Morgan Wallen,5MwynWK9s4hlyKHqhkNn4A,
34,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",1xQ6trAsedVPCdbtDAmk0c,1024663338.0
35,No Guidance (feat. Drake),"Chris Brown, Drake",6XHVuErjQ4XNm6nDPVCxVX,893723764.0
36,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",3yOlyBJuViE2YSGn3nVE1K,
37,Dynamite,BTS,0t1kP63rueHleOhQkYSXFY,1630941820.0
38,Go Crazy,"Chris Brown, Young Thug",1IIKrJVP1C9N7iPtG6eOsK,
39,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",07KXEDMj78x68D884wgVEm,
40,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",2SAqBLGA283SUiwJ3xOUVI,
41,Woah,Lil Baby,598yNsG1JFrGd4n2kMoz7F,
42,death bed (coffee for your head),"Powfu, beabadoobee",7eJMfftS33KTjuF7lTsMCx,1426962212.0
43,Señorita,"Shawn Mendes, Camila Cabello",0TK2YIli7K1leLovkQiNik,2398627901.0
44,HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,
45,bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,
46,Mood (feat. iann dior),"24kGoldn, iann dior",3tjFYV6RSFtuktYl3ZtYcq,1647916477.0
47,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",24ySl2hOPGCDcxBxFIqWBu,2020.0
48,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",0PvFJmanyNQMseIFrU708S,977054549.0
49,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",6cy3ki60hLwimwIje7tALf,2019.0
50,Heart On Ice,Rod Wave,6fWa5CRgy0z30OeGZyMBvD,266418682.0
51,Nobody But You (Duet with Gwen Stefani),"Blake Shelton, Gwen Stefani",5M8goiFYynmNxhueYW6grR,
52,Trampoline,SHAED,0lsRatBUs9HNIZAmoGABzk,210498251.0
53,Come & Go (with Marshmello),"Juice WRLD, Marshmello",2Y0wPrPQBrGhoLn14xRYCG,
54,Truth Hurts,Lizzo,5qmq61DAAOUaW8AUo8xKhh,906684913.0
55,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",2kJwzbxV2ppxnQoYw4GLBZ,946079875.0
56,We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg",6gxKUmycQX7uyMwJcweFjp,
57,Yummy,Justin Bieber,16wAOAZ2OkqoIDN7TpChjR,
58,One Man Band,Old Dominion,7cA3PnUQDlUyBBwpRozQeo,321934865.0
59,Got What I Got,Jason Aldean,4TCc369aRPRubv1m8R1TBG,
60,Sunday Best,Surfaces,1Cv1YLb4q0RzL6pybtaMLo,857230487.0
61,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",7FIWs0pqAYbP91WWM0vlTQ,
62,Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again",6Gg1gjgKi2AK4e0qzsR7sd,
63,Party Girl,StaySolidRocky,5RqR4ZCCKJDcBLIn4sih9l,619011095.0
64,Die From A Broken Heart,Maddie & Tae,1kFpL1itkwkdhO6kcmNJra,227183315.0
65,POPSTAR (feat. Drake),"DJ Khaled, Drake",6EDO9iiTtwNv6waLwa1UUq,621730083.0
66,All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,
67,One Of Them Girls,Lee Brice,14GwnOeC9qYEKEA6uOZepa,261615660.0
68,Hard To Forget,Sam Hunt,10xuH52YSXHWFwCaF1fsDd,
69,One Margarita,Luke Bryan,6NhS5LwYbJ6xD7BGvlWRJO,
70,Panini,Lil Nas X,1000nHvUdawXuUHgBod4Wv,
71,Hot (feat. Gunna),"Young Thug, Gunna",5Z8HZM6iQMhhqyPcCGY5g9,
72,I Hope You’re Happy Now,"Carly Pearce, Lee Brice",0Al3wN3keprGTSgG8NBwjr,170712898.0
73,Emotionally Scarred,Lil Baby,7ge7BHazYbVKi8qyZUX1Bm,
74,Suicidal (Remix) [feat. Juice WRLD],"YNW Melly, Juice WRLD",4S2uhQE8L9V6p7rj7SiauJ,345982908.0
75,The Bigger Picture,Lil Baby,44gRhRi2OhEf7moAUj6MD1,
76,Only Human,Jonas Brothers,0DiDStADDVh3SvAsoJAFMk,
77,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",1H7KnK26kc1YyellpbINEn,
78,Sum 2 Prove,Lil Baby,2u3EyuCqqV31woqGvO9LBz,
79,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",4HBZA5flZLE435QTztThqH,
80,Mood Swings (feat. Lil Tjay),"Pop Smoke, Lil Tjay",5rZlwNFl01HqLWBQGryKSm,
81,You should be sad,Halsey,7lidXGPXPYLNThITAOTlkK,
82,Dior,Pop Smoke,79s5XnCN4TJKTVMSmOx8Ep,855017805.0
83,Supalonely,"BENEE, Gus Dapperton",4nK5YrxbMGZstTLbvj6Gxw,
84,Even Though I'm Leaving,Luke Combs,5Fhe63YOMZsGdB3CgCDuBi,
85,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",39Yp9wwQiSRIDOvrVg7mbk,696213522.0
86,Juicy,"Doja Cat, Tyga",7qvsl2pYzrsYgPeFBN5jxp,
87,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",5f1joOtoMeyppIcJGZQvqJ,
88,Homesick,Kane Brown,30RZAuEkYeDXvy46Iv6l7E,
89,Rags2Riches (feat. ATR Son Son),"Rod Wave, ATR Son Son",1ENdcyhqdylaLsPVgB83qq,
90,Bluebird,Miranda Lambert,0kPeZAyIhIfeZNrtfjJGDB,142432904.0
91,Wishing Well,Juice WRLD,2U5WueTLIK5WJLD7mvDODv,
92,Does To Me (feat. Eric Church),"Luke Combs, Eric Church",0nGXi46VcQQ56ZJR428MKS,
93,P*$$Y Fairy (OTW),Jhené Aiko,48KXAIruJ07kJVCWOGohMV,
94,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",62aP9fBQKYKxi7PDXwcUAS,812747861.0
95,More Than My Hometown,Morgan Wallen,0eBXyY4SatzpE7opnzgXvz,
96,Lovin' On You,Luke Combs,0nYvjcSlCgjcwogQAwIwNp,
97,Said Sum,Moneybagg Yo,3sKz6Sd72K0ofPWcJPPk6H,
98,Slide,"H.E.R., YG",2rTnVB1bvwxHtaIl4uVu7f,
99,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",4cSSL3YafYjM3yjgFO1vJg,450343381.0
